foods_id,foods_name
1,Bagels
2,"Bagels, raisin"
3,"Bavarian Cream Pie"
4,"Bear Claws"
5,"Black and White cookies"
6,"Bread (with nuts)"
7,Butterfingers
8,"Carrot Cake"
9,"Chips Ahoy Cookies"
10,"Chocolate Bobka"
11,"Chocolate Eclairs"
12,"Chocolate Cream Pie"
13,"Cinnamon Bobka"
14,"Cinnamon Swirls"
15,Cookie
16,Crackers
17,Cupcake
18,Cupcakes
19,"Devils Food Cake"
20,"Dinky Donuts"
21,"Dog biscuits"
22,Donuts
23,"Drakes Coffee Cakes"
24,"Entenmann's Cake"
25,"Kaiser Rolls"
26,"Marble Ryes"
27,"Mini Ritz"
28,Muffin
29,"Muffin Tops"
30,"Muffin Stumps"
31,"Nut Bread"
32,"Pastries (of the Gods)"
33,"Peach Muffin"
34,"Peppridge Farms Cookies (Milanos)"
35,"Pizza Bagels"
36,Pie
37,"Pie (blueberry)"
38,"Pie (Blackberry) Pie"
39,"Pie (Boysenberry)"
40,"Pie (Huckleberry)"
41,"Pie (Raspberry)"
42,"Pie (Strawberry)"
43,"Pie (Cranberry)"
44,"Pie (Peach)"
45,"Poppy Seed Muffins"
46,Triscuits
47,"Wedding Cake (Royal)"
48,Bran
49,Cheerios
50,"Corn Flakes"
51,"Double Crunch"
52,"Fruit Loops"
53,"Grape Nuts"
54,"Honey Combs"
55,Kasha
56,Kix
57,Life
58,Pancakes
59,"Reese's Peanut-Butter Puffs"
60,"Rice Krispies"
61,"Special K"
62,"Tightly Wrapped Magic Pan Crepes"
63,"Broiled Chicken"
64,Casserole
65,Chicken
66,"Chicken (for wedding)"
67,"Chicken Cashew (not ordered)"
68,"Chicken Kiev"
69,"Kung-Pao Chicken"
70,"Chicken Marsala"
71,"Chicken Piccata"
72,"Chicken with Poppy Seeds"
73,"Chicken, whole stuffed w/Gorganzolla and Ham"
74,"Chicken Skins"
75,"Chicken Wing (Shoulder Blades)"
76,"Chicken (Kenny Rogers) "
77,"Chicken (Tyler) "
78,"Colonel Chang Chicken"
79,"Cornish Game Hen"
80,Duck
81,"Duck, juicy breasts of"
82,Turkey
83,"Turkey, Kramer"
84,"Turkey Jerky"
85,"Turkey Chili"
86,"A1 Sauce"
87,"Barbeque Sauce"
88,"Dijon Mustard"
89,Dill
90,Ginger
91,Gravy
92,"Honey Mustard"
93,"Ketchup and Mustard together"
94,Ketchup
95,"Ketchup (secret)"
96,"Maple Syrup"
97,"Mustard (fancy)"
98,Parsley
99,Pepper
100,Pesto
101,"Salad Dressing"
